"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 8 time","--","--","--",
"minecraft:coal","1..4","35.7%","10/28",
"minecraft:stone_axe","1","7.1%","2/28",
"minecraft:rotten_flesh","1","17.9%","5/28",
"minecraft:emerald","1","3.6%","1/28",
"minecraft:wheat","2..3","35.7%","10/28",
——,——,——,——,——
"1 time","--","--","--",
"minecraft:leather_chestplate","1","8.3%","1/12",
"minecraft:golden_helmet","1","8.3%","1/12",
"minecraft:fishing_rod","1","41.7%","5/12","enchantments: *"
"minecraft:explorer_map","1","41.7%","5/12","destination: #minecraft:on_treasure_maps"
