"Name","Count","Chance","Weight","Comment"
,,,,
"3 to 8 time","--","--","--",
"minecraft:gold_nugget","1..3","2.2%","1/46",
"minecraft:grass","1","10.9%","5/46",
"minecraft:tall_grass","1","10.9%","5/46",
"minecraft:bread","1..4","21.7%","10/46",
"minecraft:wheat_seeds","1..5","21.7%","10/46",
"minecraft:emerald","1..4","4.3%","2/46",
"minecraft:acacia_sapling","1..2","21.7%","10/46",
"minecraft:saddle","1","2.2%","1/46",
"minecraft:torch","1..2","2.2%","1/46",
"minecraft:bucket","1","2.2%","1/46",
