"Name","Count","Chance","Weight","Comment"
,,,,
"4 to 8 time","--","--","--",
"minecraft:obsidian","1..2","10.1%","40/398",
"minecraft:flint","1..4","10.1%","40/398",
"minecraft:iron_nugget","9..18","10.1%","40/398",
"minecraft:flint_and_steel","1","10.1%","40/398",
"minecraft:fire_charge","1","10.1%","40/398",
"minecraft:golden_apple","1","3.8%","15/398",
"minecraft:gold_nugget","4..24","3.8%","15/398",
"minecraft:golden_sword","1","3.8%","15/398","enchantments: *"
"minecraft:golden_axe","1","3.8%","15/398","enchantments: *"
"minecraft:golden_hoe","1","3.8%","15/398","enchantments: *"
"minecraft:golden_shovel","1","3.8%","15/398","enchantments: *"
"minecraft:golden_pickaxe","1","3.8%","15/398","enchantments: *"
"minecraft:golden_boots","1","3.8%","15/398","enchantments: *"
"minecraft:golden_chestplate","1","3.8%","15/398","enchantments: *"
"minecraft:golden_helmet","1","3.8%","15/398","enchantments: *"
"minecraft:golden_leggings","1","3.8%","15/398","enchantments: *"
"minecraft:glistering_melon_slice","4..12","1.3%","5/398",
"minecraft:golden_horse_armor","1","1.3%","5/398",
"minecraft:light_weighted_pressure_plate","1","1.3%","5/398",
"minecraft:golden_carrot","4..12","1.3%","5/398",
"minecraft:clock","1","1.3%","5/398",
"minecraft:gold_ingot","2..8","1.3%","5/398",
"minecraft:bell","1","0.25%","1/398",
"minecraft:enchanted_golden_apple","1","0.25%","1/398",
"minecraft:gold_block","1..2","0.25%","1/398",
