"Name","Count","Chance","Weight","Comment"
,,,,
"1 to 3 time","--","--","--",
"minecraft:saddle","1","15.5%","20/129",
"minecraft:golden_apple","1","11.6%","15/129",
"minecraft:enchanted_golden_apple","1","1.6%","2/129",
"minecraft:music_disc_otherside","1","1.6%","2/129",
"minecraft:music_disc_13","1","11.6%","15/129",
"minecraft:music_disc_cat","1","11.6%","15/129",
"minecraft:name_tag","1","15.5%","20/129",
"minecraft:golden_horse_armor","1","7.8%","10/129",
"minecraft:iron_horse_armor","1","11.6%","15/129",
"minecraft:diamond_horse_armor","1","3.9%","5/129",
"minecraft:enchanted_book","1","7.8%","10/129","enchantments: *"
——,——,——,——,——
"1 to 4 time","--","--","--",
"minecraft:iron_ingot","1..4","8%","10/125",
"minecraft:gold_ingot","1..4","4%","5/125",
"minecraft:bread","1","16%","20/125",
"minecraft:wheat","1..4","16%","20/125",
"minecraft:bucket","1","8%","10/125",
"minecraft:redstone","1..4","12%","15/125",
"minecraft:coal","1..4","12%","15/125",
"minecraft:melon_seeds","2..4","8%","10/125",
"minecraft:pumpkin_seeds","2..4","8%","10/125",
"minecraft:beetroot_seeds","2..4","8%","10/125",
——,——,——,——,——
"3 time","--","--","--",
"minecraft:bone","1..8","25%","10/40",
"minecraft:gunpowder","1..8","25%","10/40",
"minecraft:rotten_flesh","1..8","25%","10/40",
"minecraft:string","1..8","25%","10/40",
