"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:netherite_hoe","1","0.24%","1/424",
"minecraft:enchanted_book","1","1.2%","5/424","enchantments: soul_speed"
"minecraft:iron_boots","1","1.9%","8/424","enchantments: soul_speed"
"minecraft:potion","1","2.4%","10/424","fire_resistance"
"minecraft:splash_potion","1","2.4%","10/424","fire_resistance"
"minecraft:iron_nugget","9..36","2.4%","10/424",
"minecraft:quartz","8..16","4.7%","20/424",
"minecraft:glowstone_dust","5..12","4.7%","20/424",
"minecraft:magma_cream","2..6","4.7%","20/424",
"minecraft:ender_pearl","4..8","4.7%","20/424",
"minecraft:string","8..24","4.7%","20/424",
"minecraft:fire_charge","1..5","9.4%","40/424",
"minecraft:gravel","8..16","9.4%","40/424",
"minecraft:leather","4..10","9.4%","40/424",
"minecraft:nether_brick","4..16","9.4%","40/424",
"minecraft:obsidian","1","9.4%","40/424",
"minecraft:crying_obsidian","1..3","9.4%","40/424",
"minecraft:soul_sand","4..16","9.4%","40/424",
