"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:heart_of_the_sea","1","100%","1",
——,——,——,——,——
"5 to 8 time","--","--","--",
"minecraft:iron_ingot","1..4","57.1%","20/35",
"minecraft:gold_ingot","1..4","28.6%","10/35",
"minecraft:tnt","1..2","14.3%","5/35",
——,——,——,——,——
"1 to 3 time","--","--","--",
"minecraft:emerald","4..8","33.3%","5/15",
"minecraft:diamond","1..2","33.3%","5/15",
"minecraft:prismarine_crystals","1..5","33.3%","5/15",
——,——,——,——,——
"0 to 1 time","--","--","--",
"minecraft:leather_chestplate","1","50%","1/2",
"minecraft:iron_sword","1","50%","1/2",
——,——,——,——,——
"2 time","--","--","--",
"minecraft:cooked_cod","2..4","50%","1/2",
"minecraft:cooked_salmon","2..4","50%","1/2",
——,——,——,——,——
"0 to 2 time","--","--","--","water_breathing"
"minecraft:potion","1","100%","1",
