"Name","Count","Chance","Weight","Comment"
,,,,
"1 to 3 time","--","--","--",
"minecraft:elytra","1","2%","2/100",
"minecraft:golden_apple","1","2%","2/100",
"minecraft:bucket","1","10%","10/100",
"minecraft:water_bucket","1","5%","5/100",
"minecraft:lava_bucket","1","5%","5/100",
"minecraft:spyglass","1","2%","2/100",
"minecraft:diamond_pickaxe","1","2%","2/100","enchantments: *"
"minecraft:end_stone","1..4","10%","10/100",
"minecraft:budding_amethyst","1","10%","10/100",
"minecraft:brain_coral_block","1..4","1%","1/100",
"minecraft:bubble_coral_block","1..4","1%","1/100",
"minecraft:fire_coral_block","1..4","1%","1/100",
"minecraft:horn_coral_block","1..4","1%","1/100",
"minecraft:tube_coral_block","1..4","1%","1/100",
"minecraft:villager_spawn_egg","1","5%","5/100",
"minecraft:cow_spawn_egg","1","5%","5/100",
"minecraft:sheep_spawn_egg","1","2%","2/100",
"minecraft:turtle_egg","1","2%","2/100",
"minecraft:sniffer_egg","1","1%","1/100",
"minecraft:soul_sand","1..4","10%","10/100",
"minecraft:echo_shard","1..4","2%","2/100",
"minecraft:snow_block","1..4","10%","10/100",
"minecraft:sculk_catalyst","1","2%","2/100",
"minecraft:heart_of_the_sea","1","1%","1/100",
"minecraft:cobweb","1..4","2%","2/100",
"minecraft:powder_snow_bucket","1","2%","2/100",
"minecraft:pufferfish_bucket","1","2%","2/100",
"minecraft:bell","1","1%","1/100",
——,——,——,——,——
"1 to 3 time","--","--","--",
"minecraft:iron_ingot","1..4","12.9%","30/232",
"minecraft:gold_ingot","1..4","12.9%","30/232",
"minecraft:wheat_seeds","1..4","2.2%","5/232",
"minecraft:pumpkin_seeds","1","2.2%","5/232",
"minecraft:melon_seeds","1","2.2%","5/232",
"minecraft:beetroot_seeds","1","2.2%","5/232",
"minecraft:carrot","1..4","2.2%","5/232",
"minecraft:potato","1..4","2.2%","5/232",
"minecraft:brown_mushroom","1","2.2%","5/232",
"minecraft:moss_block","1","2.2%","5/232",
"minecraft:warped_nylium","1","0.43%","1/232",
"minecraft:crimson_nylium","1","0.43%","1/232",
"minecraft:mycelium","1","2.2%","5/232",
"minecraft:pointed_dripstone","1","0.43%","1/232",
"minecraft:red_mushroom","1","2.2%","5/232",
"minecraft:chorus_flower","1","2.2%","5/232",
"minecraft:rose_bush","1","0.43%","1/232",
"minecraft:sunflower","1","0.43%","1/232",
"minecraft:lilac","1","0.43%","1/232",
"minecraft:peony","1","0.43%","1/232",
"minecraft:dandelion","1","0.43%","1/232",
"minecraft:poppy","1","0.43%","1/232",
"minecraft:blue_orchid","1","0.43%","1/232",
"minecraft:allium","1","0.43%","1/232",
"minecraft:azure_bluet","1","0.43%","1/232",
"minecraft:orange_tulip","1","0.43%","1/232",
"minecraft:pink_tulip","1","0.43%","1/232",
"minecraft:red_tulip","1","0.43%","1/232",
"minecraft:white_tulip","1","0.43%","1/232",
"minecraft:oxeye_daisy","1","0.43%","1/232",
"minecraft:cornflower","1","0.43%","1/232",
"minecraft:lily_of_the_valley","1","0.43%","1/232",
"minecraft:pink_petals","1","0.43%","1/232",
"minecraft:spore_blossom","1","0.86%","2/232",
"minecraft:kelp","1","2.2%","5/232",
"minecraft:big_dripleaf","1","0.43%","1/232",
"minecraft:fern","1","2.2%","5/232",
"minecraft:large_fern","1","0.43%","1/232",
"minecraft:glow_berries","1","2.2%","5/232",
"minecraft:sweet_berries","1","2.2%","5/232",
"minecraft:oak_sapling","1..2","2.2%","5/232",
"minecraft:spruce_sapling","1..2","2.2%","5/232",
"minecraft:dark_oak_sapling","1..4","2.2%","5/232",
"minecraft:birch_sapling","1..2","2.2%","5/232",
"minecraft:mangrove_propagule","1..2","2.2%","5/232",
"minecraft:acacia_sapling","1..2","2.2%","5/232",
"minecraft:jungle_sapling","1..4","2.2%","5/232",
"minecraft:cherry_sapling","1..2","2.2%","5/232",
"minecraft:cactus","1..4","2.2%","5/232",
"minecraft:sugar_cane","2..4","2.2%","5/232",
"minecraft:nether_wart","2..4","2.2%","5/232",
"minecraft:cocoa_beans","2..4","2.2%","5/232",
"minecraft:sea_pickle","2..4","2.2%","5/232",
"minecraft:bamboo","2..4","2.2%","5/232",
"minecraft:wither_skeleton_skull","3","0.43%","1/232",
"minecraft:ender_pearl","2..4","0.86%","2/232",
——,——,——,——,——
"1 to 3 time","--","--","--",
"minecraft:air_block","1..4","7%","10/143",
"minecraft:packed_air","1","1.4%","2/143",
"minecraft:gunpowder","2..32","3.5%","5/143",
"minecraft:bone_block","1..8","7%","10/143",
"minecraft:slime_ball","8..32","7%","10/143",
"minecraft:redstone","8..32","7%","10/143",
"minecraft:glowstone_dust","1..8","3.5%","5/143",
"minecraft:lapis_lazuli","5..32","7%","10/143",
"minecraft:gold_ingot","5..16","7%","10/143",
"minecraft:diamond","1","3.5%","5/143",
"minecraft:ancient_debris","1","3.5%","5/143",
"minecraft:quartz","5..32","7%","10/143",
"minecraft:iron_ingot","5..16","7%","10/143",
"minecraft:blaze_rod","2..4","7%","10/143",
"minecraft:prismarine_shard","2..16","7%","10/143",
"minecraft:prismarine_crystals","1..8","7%","10/143",
"minecraft:nautilus_shell","1..4","1.4%","2/143",
"minecraft:spider_eye","1..3","3.5%","5/143",
"minecraft:ghast_tear","1..3","1.4%","2/143",
"minecraft:rabbit_foot","1..3","1.4%","2/143",
