"Name","Count","Chance","Weight","Comment"
,,,,
"3 to 6 time","--","--","--",
"minecraft:iron_ingot","1..5","60%","90/150",
"minecraft:gold_ingot","1..5","6.7%","10/150",
"minecraft:emerald","1..5","26.7%","40/150",
"minecraft:diamond","1","3.3%","5/150",
"minecraft:experience_bottle","1","3.3%","5/150",
——,——,——,——,——
"2 to 5 time","--","--","--",
"minecraft:iron_nugget","1..10","62.5%","50/80",
"minecraft:gold_nugget","1..10","12.5%","10/80",
"minecraft:lapis_lazuli","1..10","25%","20/80",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"83.3%","5/6",
"minecraft:coast_armor_trim_smithing_template","2","16.7%","1/6",
