"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:stone_axe","1","25%","1/4",
"minecraft:wooden_axe","1","75%","3/4",
——,——,——,——,——
"1 time","--","--","--",
"minecraft:stone_pickaxe","1","25%","1/4",
"minecraft:wooden_pickaxe","1","75%","3/4",
——,——,——,——,——
"3 time","--","--","--",
"minecraft:apple","1..2","45.5%","5/11",
"minecraft:bread","1..2","27.3%","3/11",
"minecraft:salmon","1..2","27.3%","3/11",
——,——,——,——,——
"4 time","--","--","--",
"minecraft:stick","1..12","24.4%","10/41",
"minecraft:oak_planks","1..12","24.4%","10/41",
"minecraft:oak_log","1..3","7.3%","3/41",
"minecraft:spruce_log","1..3","7.3%","3/41",
"minecraft:birch_log","1..3","7.3%","3/41",
"minecraft:jungle_log","1..3","7.3%","3/41",
"minecraft:acacia_log","1..3","7.3%","3/41",
"minecraft:dark_oak_log","1..3","7.3%","3/41",
"minecraft:mangrove_log","1..3","7.3%","3/41",
