"Name","Count","Chance","Weight","Comment"
,,,,
"3 to 8 time","--","--","--",
"minecraft:iron_nugget","1..5","1.9%","1/54",
"minecraft:fern","1","3.7%","2/54",
"minecraft:large_fern","1","3.7%","2/54",
"minecraft:potato","1..7","18.5%","10/54",
"minecraft:sweet_berries","1..7","9.3%","5/54",
"minecraft:bread","1..4","18.5%","10/54",
"minecraft:pumpkin_seeds","1..5","9.3%","5/54",
"minecraft:pumpkin_pie","1","1.9%","1/54",
"minecraft:emerald","1..4","3.7%","2/54",
"minecraft:spruce_sapling","1..5","9.3%","5/54",
"minecraft:spruce_sign","1","1.9%","1/54",
"minecraft:spruce_log","1..5","18.5%","10/54",
