"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:enchanted_book","1","1.9%","10/517","enchantments: soul_speed"
"minecraft:iron_boots","1","2.3%","12/517","enchantments: soul_speed"
"minecraft:potion","1","2.9%","15/517","fire_resistance"
"minecraft:splash_potion","1","3.9%","20/517","fire_resistance"
"minecraft:potion","1","1.9%","10/517","water"
"minecraft:iron_nugget","10..36","1.9%","10/517",
"minecraft:ender_pearl","3..5","7.7%","40/517",
"minecraft:string","3..9","3.9%","20/517",
"minecraft:quartz","5..12","3.9%","20/517",
"minecraft:obsidian","1","7.7%","40/517",
"minecraft:crying_obsidian","1..3","7.7%","40/517",
"minecraft:fire_charge","1","7.7%","40/517",
"minecraft:leather","2..4","7.7%","40/517",
"minecraft:soul_sand","2..8","7.7%","40/517",
"minecraft:nether_brick","2..8","7.7%","40/517",
"minecraft:spectral_arrow","6..12","7.7%","40/517",
"minecraft:gravel","8..16","7.7%","40/517",
"minecraft:blackstone","8..16","7.7%","40/517",
