minecraft:black_candle_cake  = minecraft:black_candle
minecraft:blue_candle_cake  = minecraft:blue_candle
minecraft:brown_candle_cake  = minecraft:brown_candle
minecraft:candle_cake  = minecraft:candle
minecraft:cyan_candle_cake  = minecraft:cyan_candle
minecraft:gray_candle_cake  = minecraft:gray_candle
minecraft:green_candle_cake  = minecraft:green_candle
minecraft:light_blue_candle_cake  = minecraft:light_blue_candle
minecraft:light_gray_candle_cake  = minecraft:light_gray_candle
minecraft:lime_candle_cake  = minecraft:lime_candle
minecraft:magenta_candle_cake  = minecraft:magenta_candle
minecraft:orange_candle_cake  = minecraft:orange_candle
minecraft:pink_candle_cake  = minecraft:pink_candle
minecraft:purple_candle_cake  = minecraft:purple_candle
minecraft:red_candle_cake  = minecraft:red_candle
minecraft:white_candle_cake  = minecraft:white_candle
minecraft:yellow_candle_cake  = minecraft:yellow_candle
