minecraft:allium  = minecraft:fire_resistance (80 ticks)
minecraft:azure_bluet  = minecraft:blindness (160 ticks)
minecraft:blue_orchid  = minecraft:saturation (7 ticks)
minecraft:cornflower  = minecraft:jump_boost (120 ticks)
minecraft:dandelion  = minecraft:saturation (7 ticks)
minecraft:lily_of_the_valley  = minecraft:poison (240 ticks)
minecraft:orange_tulip  = minecraft:weakness (180 ticks)
minecraft:oxeye_daisy  = minecraft:regeneration (160 ticks)
minecraft:pink_tulip  = minecraft:weakness (180 ticks)
minecraft:poppy  = minecraft:night_vision (100 ticks)
minecraft:potato_flower  = minecraft:poison (240 ticks)
minecraft:red_tulip  = minecraft:weakness (180 ticks)
minecraft:torchflower  = minecraft:night_vision (100 ticks)
minecraft:white_tulip  = minecraft:weakness (180 ticks)
minecraft:wither_rose  = minecraft:wither (160 ticks)
