minecraft:bow  = 384
minecraft:brush  = 64
minecraft:carrot_on_a_stick  = 25
minecraft:chainmail_boots  = 195
minecraft:chainmail_chestplate  = 240
minecraft:chainmail_helmet  = 165
minecraft:chainmail_leggings  = 225
minecraft:crossbow  = 465
minecraft:diamond_axe  = 1561
minecraft:diamond_boots  = 429
minecraft:diamond_chestplate  = 528
minecraft:diamond_helmet  = 363
minecraft:diamond_hoe  = 1561
minecraft:diamond_leggings  = 495
minecraft:diamond_pickaxe  = 1561
minecraft:diamond_shovel  = 1561
minecraft:diamond_sword  = 1561
minecraft:elytra  = 432
minecraft:fishing_rod  = 64
minecraft:flint_and_steel  = 64
minecraft:golden_axe  = 32
minecraft:golden_boots  = 91
minecraft:golden_chestplate  = 112
minecraft:golden_helmet  = 77
minecraft:golden_hoe  = 32
minecraft:golden_leggings  = 105
minecraft:golden_pickaxe  = 32
minecraft:golden_shovel  = 32
minecraft:golden_sword  = 32
minecraft:iron_axe  = 250
minecraft:iron_boots  = 195
minecraft:iron_chestplate  = 240
minecraft:iron_helmet  = 165
minecraft:iron_hoe  = 250
minecraft:iron_leggings  = 225
minecraft:iron_pickaxe  = 250
minecraft:iron_shovel  = 250
minecraft:iron_sword  = 250
minecraft:lashing_potato  = 100
minecraft:leather_boots  = 65
minecraft:leather_chestplate  = 80
minecraft:leather_helmet  = 55
minecraft:leather_leggings  = 75
minecraft:mace  = 250
minecraft:netherite_axe  = 2031
minecraft:netherite_boots  = 481
minecraft:netherite_chestplate  = 592
minecraft:netherite_helmet  = 407
minecraft:netherite_hoe  = 2031
minecraft:netherite_leggings  = 555
minecraft:netherite_pickaxe  = 2031
minecraft:netherite_shovel  = 2031
minecraft:netherite_sword  = 2031
minecraft:poisonous_polytra  = 432
minecraft:poisonous_potato_chestplate  = 240
minecraft:potato_peeler  = 238
minecraft:shears  = 238
minecraft:shield  = 336
minecraft:stone_axe  = 131
minecraft:stone_hoe  = 131
minecraft:stone_pickaxe  = 131
minecraft:stone_shovel  = 131
minecraft:stone_sword  = 131
minecraft:trident  = 250
minecraft:turtle_helmet  = 275
minecraft:warped_fungus_on_a_stick  = 100
minecraft:wolf_armor  = 64
minecraft:wooden_axe  = 59
minecraft:wooden_hoe  = 59
minecraft:wooden_pickaxe  = 59
minecraft:wooden_shovel  = 59
minecraft:wooden_sword  = 59
