"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:angler_pottery_sherd","1","6.7%","1/15",
"minecraft:shelter_pottery_sherd","1","6.7%","1/15",
"minecraft:snort_pottery_sherd","1","6.7%","1/15",
"minecraft:sniffer_egg","1","6.7%","1/15",
"minecraft:iron_axe","1","6.7%","1/15",
"minecraft:emerald","1","13.3%","2/15",
"minecraft:wheat","1","13.3%","2/15",
"minecraft:wooden_hoe","1","13.3%","2/15",
"minecraft:coal","1","13.3%","2/15",
"minecraft:gold_nugget","1","13.3%","2/15",
