"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:emerald","1","4.4%","2/45",
"minecraft:wheat","1","4.4%","2/45",
"minecraft:wooden_hoe","1","4.4%","2/45",
"minecraft:clay","1","4.4%","2/45",
"minecraft:brick","1","4.4%","2/45",
"minecraft:yellow_dye","1","4.4%","2/45",
"minecraft:blue_dye","1","4.4%","2/45",
"minecraft:light_blue_dye","1","4.4%","2/45",
"minecraft:white_dye","1","4.4%","2/45",
"minecraft:orange_dye","1","4.4%","2/45",
"minecraft:red_candle","1","4.4%","2/45",
"minecraft:green_candle","1","4.4%","2/45",
"minecraft:purple_candle","1","4.4%","2/45",
"minecraft:brown_candle","1","4.4%","2/45",
"minecraft:magenta_stained_glass_pane","1","2.2%","1/45",
"minecraft:pink_stained_glass_pane","1","2.2%","1/45",
"minecraft:blue_stained_glass_pane","1","2.2%","1/45",
"minecraft:light_blue_stained_glass_pane","1","2.2%","1/45",
"minecraft:red_stained_glass_pane","1","2.2%","1/45",
"minecraft:yellow_stained_glass_pane","1","2.2%","1/45",
"minecraft:purple_stained_glass_pane","1","2.2%","1/45",
"minecraft:spruce_hanging_sign","1","2.2%","1/45",
"minecraft:oak_hanging_sign","1","2.2%","1/45",
"minecraft:gold_nugget","1","2.2%","1/45",
"minecraft:coal","1","2.2%","1/45",
"minecraft:wheat_seeds","1","2.2%","1/45",
"minecraft:beetroot_seeds","1","2.2%","1/45",
"minecraft:dead_bush","1","2.2%","1/45",
"minecraft:flower_pot","1","2.2%","1/45",
"minecraft:string","1","2.2%","1/45",
"minecraft:lead","1","2.2%","1/45",
