"Name","Count","Chance","Weight","Comment"
,,,,
"0 to 1 time","--","--","--",
"minecraft:crossbow","1","100%","1",
——,——,——,——,——
"2 to 3 time","--","--","--",
"minecraft:wheat","3..5","41.2%","7/17",
"minecraft:potato","2..5","29.4%","5/17",
"minecraft:carrot","3..5","29.4%","5/17",
——,——,——,——,——
"1 to 3 time","--","--","--",
"minecraft:dark_oak_log","2..3","100%","1",
——,——,——,——,——
"2 to 3 time","--","--","--",
"minecraft:experience_bottle","1","31.8%","7/22",
"minecraft:string","1..6","18.2%","4/22",
"minecraft:arrow","2..7","18.2%","4/22",
"minecraft:tripwire_hook","1..3","13.6%","3/22",
"minecraft:iron_ingot","1..3","13.6%","3/22",
"minecraft:enchanted_book","1","4.5%","1/22","enchantments: *"
——,——,——,——,——
"0 to 1 time","--","--","--",
"minecraft:goat_horn","1","100%","1",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"75%","3/4",
"minecraft:sentry_armor_trim_smithing_template","2","25%","1/4",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"33.3%","1/3",
"minecraft:enchanted_book","1","66.7%","2/3","enchantments: quick_charge"
