"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:iron_hoe","1","100%","1",
——,——,——,——,——
"4 time","--","--","--",
"minecraft:potato","1..8","60%","9/15",
"minecraft:poisonous_potato","0..4","40%","6/15",
——,——,——,——,——
"4 time","--","--","--",
"minecraft:bone_meal","0..8","100%","1",
——,——,——,——,——
"4 to 8 time","--","--","--",
"minecraft:obsidian","1..2","11.3%","40/353",
"minecraft:flint","1..4","11.3%","40/353",
"minecraft:iron_nugget","9..18","11.3%","40/353",
"minecraft:flint_and_steel","1","11.3%","40/353",
"minecraft:fire_charge","1","11.3%","40/353",
"minecraft:gold_nugget","4..24","4.2%","15/353",
"minecraft:golden_sword","1","4.2%","15/353","enchantments: *"
"minecraft:golden_axe","1","4.2%","15/353","enchantments: *"
"minecraft:golden_hoe","1","4.2%","15/353","enchantments: *"
"minecraft:poisonous_pota_toes","1","4.2%","15/353",
"minecraft:poisonous_potato_chestplate","1","4.2%","15/353",
"minecraft:golden_helmet","1","4.2%","15/353","enchantments: *"
"minecraft:golden_leggings","1","4.2%","15/353","enchantments: *"
"minecraft:glistering_melon_slice","4..12","1.4%","5/353",
"minecraft:golden_horse_armor","1","1.4%","5/353",
"minecraft:potato_pressure_plate","1","1.4%","5/353",
"minecraft:potato_fruit","4..12","1.4%","5/353",
"minecraft:clock","1","1.4%","5/353",
"minecraft:potato_oil","2..8","1.4%","5/353",
"minecraft:bell","1","0.28%","1/353",
"minecraft:enchanted_golden_apple","1","0.28%","1/353",
"minecraft:gold_block","1..2","0.28%","1/353",
