"Name","Count","Chance","Weight","Comment"
,,,,
"1 to 3 time","--","--","--",
"minecraft:iron_axe","1","5.3%","1/19","enchantments: *"
"minecraft:honeycomb","2..8","5.3%","1/19",
"minecraft:stone_axe","1","10.5%","2/19",
"minecraft:stone_pickaxe","1","10.5%","2/19",
"minecraft:ender_pearl","1..2","10.5%","2/19",
"minecraft:bamboo_hanging_sign","1..4","10.5%","2/19",
"minecraft:bamboo_planks","3..6","10.5%","2/19",
"minecraft:scaffolding","2..10","10.5%","2/19",
"minecraft:torch","3..6","10.5%","2/19",
"minecraft:tuff","8..20","15.8%","3/19",
