minecraft:allium  = minecraft:fire_resistance (60 ticks)
minecraft:azure_bluet  = minecraft:blindness (220 ticks)
minecraft:blue_orchid  = minecraft:saturation (7 ticks)
minecraft:cornflower  = minecraft:jump_boost (100 ticks)
minecraft:dandelion  = minecraft:saturation (7 ticks)
minecraft:lily_of_the_valley  = minecraft:poison (220 ticks)
minecraft:orange_tulip  = minecraft:weakness (140 ticks)
minecraft:oxeye_daisy  = minecraft:regeneration (140 ticks)
minecraft:pink_tulip  = minecraft:weakness (140 ticks)
minecraft:poppy  = minecraft:night_vision (100 ticks)
minecraft:red_tulip  = minecraft:weakness (140 ticks)
minecraft:torchflower  = minecraft:night_vision (100 ticks)
minecraft:white_tulip  = minecraft:weakness (140 ticks)
minecraft:wither_rose  = minecraft:wither (140 ticks)
