minecraft:music_disc_11  = minecraft:11
minecraft:music_disc_13  = minecraft:13
minecraft:music_disc_5  = minecraft:5
minecraft:music_disc_and_action  = minecraft:and_action
minecraft:music_disc_blocks  = minecraft:blocks
minecraft:music_disc_cat  = minecraft:cat
minecraft:music_disc_chirp  = minecraft:chirp
minecraft:music_disc_creator  = minecraft:creator
minecraft:music_disc_creator_music_box  = minecraft:creator_music_box
minecraft:music_disc_far  = minecraft:far
minecraft:music_disc_mall  = minecraft:mall
minecraft:music_disc_mellohi  = minecraft:mellohi
minecraft:music_disc_otherside  = minecraft:otherside
minecraft:music_disc_pigstep  = minecraft:pigstep
minecraft:music_disc_precipice  = minecraft:precipice
minecraft:music_disc_relic  = minecraft:relic
minecraft:music_disc_stal  = minecraft:stal
minecraft:music_disc_strad  = minecraft:strad
minecraft:music_disc_wait  = minecraft:wait
minecraft:music_disc_ward  = minecraft:ward
