"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"loot_table[]minecraft:chests/trial_chambers/reward_ominous_rare","1","80%","8/10",
"loot_table[]minecraft:chests/trial_chambers/reward_ominous_common","1","20%","2/10",
——,——,——,——,——
"1 to 3 time","--","--","--",
"loot_table[]minecraft:chests/trial_chambers/reward_ominous_common","1","100%","1",
——,——,——,——,——
"1 time","--","--","--","random chance: 0.75%"
"loot_table[]minecraft:chests/trial_chambers/reward_ominous_unique","1","100%","1",
