"Name","Count","Chance","Weight","Comment"
,,,,
"1 to 4 time","--","--","--",
"minecraft:bow","1","4.5%","1/22","enchantments: {levels: 1..30}"
"minecraft:arrow","1..20","4.5%","1/22",
"minecraft:tipped_arrow","1..20","4.5%","1/22",
"minecraft:potion","1","4.5%","1/22",
"minecraft:splash_potion","1","4.5%","1/22",
"minecraft:lingering_potion","1","4.5%","1/22",
"minecraft:leather_chestplate","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:leather_boots","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:leather_helmet","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:leather_leggings","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:iron_chestplate","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:iron_boots","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:iron_helmet","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:iron_leggings","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:diamond_chestplate","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:diamond_boots","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:diamond_helmet","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:diamond_leggings","1","4.5%","1/22","enchantments: {levels: 5..10}"
"minecraft:stone_sword","1","4.5%","1/22","enchantments: {levels: 10..20}"
"minecraft:iron_sword","1","4.5%","1/22","enchantments: {levels: 10..20}"
"minecraft:diamond_sword","1","4.5%","1/22","enchantments: {levels: 10..20}"
"minecraft:crossbow","1","4.5%","1/22","enchantments: multishot"
——,——,——,——,——
"1 time","--","--","--",
"minecraft:blue_key","1","4.2%","1/24",
"minecraft:yellow_key","1","8.3%","2/24",
"minecraft:red_key","1","20.8%","5/24",
"empty",,"66.7%","16/24",
