"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 4 time","--","--","--",
"minecraft:diamond","1..3","2.2%","5/232",
"minecraft:iron_ingot","1..5","6.5%","15/232",
"minecraft:gold_ingot","2..7","6.5%","15/232",
"minecraft:emerald","1..3","6.5%","15/232",
"minecraft:bone","4..6","10.8%","25/232",
"minecraft:spider_eye","1..3","10.8%","25/232",
"minecraft:rotten_flesh","3..7","10.8%","25/232",
"minecraft:saddle","1","8.6%","20/232",
"minecraft:iron_horse_armor","1","6.5%","15/232",
"minecraft:golden_horse_armor","1","4.3%","10/232",
"minecraft:diamond_horse_armor","1","2.2%","5/232",
"minecraft:enchanted_book","1","8.6%","20/232","enchantments: *"
"minecraft:golden_apple","1","8.6%","20/232",
"minecraft:enchanted_golden_apple","1","0.86%","2/232",
"empty",,"6.5%","15/232",
——,——,——,——,——
"4 time","--","--","--",
"minecraft:bone","1..8","20%","10/50",
"minecraft:gunpowder","1..8","20%","10/50",
"minecraft:rotten_flesh","1..8","20%","10/50",
"minecraft:string","1..8","20%","10/50",
"minecraft:sand","1..8","20%","10/50",
